band    nu_center   nu_width  fwhm    pol_weight  NET     f_knee  f_min  alpha
none    GHz         GHz       arcmin  uK_arcmin   uK_CMB  mHz     mHz    none
1       21.0        5.2       38.4    16.3        94.7    10.0    0.01   1.0
2       25.0        6.3       32.0    11.7        86.6    10.0    0.01   1.0
3       30.0        7.5       28.3    7.8         54.9    10.0    0.01   1.0
4       36.0        9.0       23.6    5.6         50.2    10.0    0.01   1.0
5       43.2        10.8      22.2    5.4         40.3    10.0    0.01   1.0
6       51.8        13.0      18.4    4.0         37.1    10.0    0.01   1.0
7       62.2        15.6      12.8    3.9         56.5    10.0    0.01   1.0
8       74.6        18.7      10.7    3.2         52.7    10.0    0.01   1.0
9       89.6        22.4      9.5     2.0         33.8    10.0    0.01   1.0
10      107.5       26.9      7.9     1.7         32.1    10.0    0.01   1.0
11      129.0       32.3      7.4     1.6         26.7    10.0    0.01   1.0
12      154.8       38.7      6.2     1.4         26.3    10.0    0.01   1.0
13      185.8       46.5      4.3     2.5         49.9    10.0    0.01   1.0
14      222.9       55.7      3.6     3.1         56.0    10.0    0.01   1.0
15      267.5       66.9      3.2     2.0         41.7    10.0    0.01   1.0
16      321.0       80.3      2.6     3.0         55.3    10.0    0.01   1.0
17      385.2       96.3      2.5     3.3         69.0    10.0    0.01   1.0
18      462.2       115.6     2.1     7.8         141.0   10.0    0.01   1.0
19      554.7       138.7     1.5     44.1        460.5   10.0    0.01   1.0
20      665.6       166.4     1.3     176.9       1826.0  10.0    0.01   1.0
21      798.7       199.7     1.1     1260.7      10806.1 10.0    0.01   1.0
