Band    Frequency   Bandwidth   Beam_FWHM   NET f_knee  Exponent
1   21.0    5.2 38.4    94.7    10  1
2   25.0    6.3 32.9    86.6    10  1
3   30.0    7.5 28.3    54.9    10  1
4   36.0    9.0 23.6    50.2    10  1
5   43.2    10.8    22.2    40.3    10  1
6   51.8    13.0    18.4    37.1    10  1
7   62.2    15.6    12.8    56.5    10  1
8   74.6    18.7    10.7    52.7    10  1
9   89.6    22.4    9.5 33.8    10  1
10  107.5   26.9    7.9 32.1    10  1
11  129.0   32.3    7.4 26.7    10  1
12  154.8   38.7    6.2 26.3    10  1
13  185.8   46.5    4.3 49.9    10  1
14  222.9   55.7    3.6 56.0    10  1
15  267.5   66.9    3.2 41.7    10  1
16  321.0   80.3    2.6 55.3    10  1
17  385.2   96.3    2.5 69.0    10  1
18  462.2   115.6   2.1 141.0   10  1
19  554.7   138.7   1.5 460.5   10  1
20  656.6   166.4   1.3 1826.0  10  1
21  798.7   199.7   1.1 10806.1 10  1
